Make,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Drivetrain,Seating Capacity,Fuel Tank Capacity,Volume,Power_bhp,Power_rpm,Torque_Nm,Torque_rpm
Honda,505000,2017,87150,Petrol,Manual,Pune,Grey,First,Corporate,FWD,5.0,35.0,10088316.0,87.0,6000.0,109.0,4500.0
Maruti Suzuki,450000,2014,75000,Diesel,Manual,Ludhiana,White,Second,Individual,FWD,5.0,42.0,10529721.375,74.0,4000.0,190.0,2000.0
Hyundai,220000,2011,67000,Petrol,Manual,Lucknow,Maroon,First,Individual,FWD,5.0,35.0,8863016.25,79.0,6000.0,112.7619,4000.0
Toyota,799000,2019,37500,Petrol,Manual,Mangalore,Red,First,Individual,FWD,5.0,37.0,10526625.25,82.0,6000.0,113.0,4200.0
Toyota,1950000,2018,69000,Diesel,Manual,Mumbai,Grey,First,Individual,RWD,7.0,55.0,15553764.75,148.0,3400.0,343.0,1400.0
Maruti Suzuki,675000,2017,73315,Petrol,Manual,Pune,Grey,First,Individual,FWD,5.0,43.0,11535034.5,91.0,6000.0,130.0,4000.0
BMW,2650000,2017,75000,Diesel,Automatic,Coimbatore,White,Second,Individual,AWD,5.0,51.0,13030471.428,188.0,4000.0,400.0,1750.0
Skoda,1390000,2017,56000,Petrol,Automatic,Mumbai,White,First,Individual,FWD,5.0,50.0,12503756.88,177.0,5100.0,250.0,1250.0
Nissan,575000,2015,85000,Diesel,Manual,Mumbai,White,First,Individual,FWD,5.0,50.0,13185998.022,84.0,3750.0,200.0,1900.0
Hyundai,591000,2017,20281,Petrol,Manual,Mumbai,Red,First,Individual,FWD,5.0,45.0,10399534.95,82.0,6000.0,115.0,4000.0
Renault,459999,2018,22541,Petrol,Manual,Bangalore,Grey,First,Individual,FWD,5.0,28.0,8585910.398,67.0,5500.0,91.0,4250.0
Maruti Suzuki,1075000,2019,30672,Petrol,Automatic,Bangalore,Blue,First,Individual,FWD,5.0,43.0,11535034.5,103.0,6000.0,138.0,4400.0
Tata,1695000,2019,20856,Diesel,Manual,Bangalore,Orange,First,Individual,FWD,5.0,50.0,14856892.072,138.0,3750.0,350.0,1750.0
Volkswagen,944999,2017,41417,Petrol,Automatic,Bangalore,Grey,First,Individual,FWD,5.0,45.0,9811777.118,103.0,5000.0,175.0,1500.0
Maruti Suzuki,569000,2016,11471,Petrol,Automatic,Bangalore,Red,First,Individual,FWD,5.0,35.0,9222720.0,67.0,6000.0,90.0,3500.0
Maruti Suzuki,449000,2019,3583,Petrol,Manual,Bangalore,Grey,First,Individual,FWD,5.0,35.0,7698283.125,47.0,6000.0,69.0,3500.0
Maruti Suzuki,894999,2018,21365,Petrol,Automatic,Bangalore,Grey,First,Individual,FWD,5.0,37.0,10526625.25,82.0,6000.0,113.0,4200.0
Maruti Suzuki,699000,2020,30777,Petrol,Automatic,Bangalore,White,First,Individual,FWD,5.0,32.0,9917842.5,82.0,6000.0,113.0,4200.0
Hyundai,740000,2016,60125,Petrol,Manual,Delhi,Silver,First,Individual,FWD,5.0,60.0,12388978.0,122.0,6400.0,154.0,4850.0
Maruti Suzuki,470000,2020,2169,Petrol,Automatic,Mumbai,Grey,First,Individual,FWD,5.0,27.0,8475003.2,67.0,5500.0,90.0,3500.0
Volkswagen,765000,2015,60240,Petrol,Automatic,Bangalore,Brown,First,Individual,FWD,5.0,55.0,10919377.856,103.0,5000.0,153.0,3800.0
Hyundai,589000,2018,13772,Petrol,Automatic,Bangalore,White,First,Individual,FWD,5.0,35.0,9263982.0,68.0,5500.0,99.0,4500.0
Hyundai,999000,2019,27464,Petrol,Manual,Bangalore,Blue,First,Individual,FWD,5.0,45.0,11349195.75,118.0,6000.0,172.0,1500.0
Maruti Suzuki,370000,2019,47377,CNG,Manual,Delhi,Grey,First,Individual,FWD,4.0,60.0,7791023.75,58.0,6000.0,78.0,3500.0
Maruti Suzuki,325000,2013,23086,Petrol,Manual,Mumbai,Grey,First,Individual,FWD,5.0,43.0,10274040.0,85.0,6000.0,113.0,4500.0
Hyundai,1175000,2019,36313,Petrol,Manual,Mumbai,Grey,First,Individual,FWD,5.0,60.0,12388978.0,122.0,6400.0,154.0,4850.0
Honda,351000,2014,39276,Petrol,Manual,Mumbai,Red,First,Individual,FWD,5.0,35.0,9097200.0,87.0,6000.0,109.0,4500.0
Hyundai,551000,2015,47752,Petrol,Manual,Mumbai,White,First,Individual,FWD,5.0,45.0,10399534.95,82.0,6000.0,115.0,4000.0
Honda,819999,2018,27963,Petrol,Manual,Delhi,White,First,Individual,FWD,5.0,40.0,11101759.866,89.0,6000.0,110.0,4800.0
Hyundai,990000,2020,24013,Petrol,Manual,Mumbai,Blue,First,Individual,FWD,5.0,45.0,11349195.75,118.0,6000.0,172.0,1500.0
Hyundai,925000,2016,66000,Diesel,Automatic,Raipur,Black,First,Individual,FWD,5.0,60.0,12388978.0,126.0,4000.0,265.0,1900.0
Ford,535000,2015,28000,Petrol,Manual,Mumbai,Silver,First,Individual,FWD,5.0,52.0,12055465.38,124.0,6000.0,170.0,1400.0
Hyundai,145000,2009,72000,CNG,Manual,Kanpur,Silver,Second,Individual,FWD,5.0,35.0,8644233.75,62.0,5500.0,96.0,3000.0
Tata,409000,2018,27069,Petrol,Manual,Mumbai,White,First,Individual,FWD,5.0,35.0,9470431.17,84.0,6000.0,114.0,3500.0
Tata,490000,2018,43000,Diesel,Manual,Patna,White,First,Individual,FWD,5.0,35.0,10289575.608,69.0,4000.0,140.0,1800.0
Toyota,1900000,2019,71000,Diesel,Manual,Mumbai,Bronze,First,Individual,RWD,8.0,55.0,15553764.75,148.0,3400.0,343.0,1400.0
Mercedes-Benz,3850000,2017,45600,Diesel,Automatic,Mumbai,Black,Second,Individual,AWD,5.0,66.0,14422937.76,168.0,3000.0,400.0,1400.0
Hyundai,1125000,2018,60000,Diesel,Manual,Patna,White,First,Individual,FWD,5.0,55.0,12654999.0,126.0,4000.0,260.0,1500.0
Mercedes-Benz,2300000,2014,105101,Diesel,Automatic,Vadodara,White,First,Individual,AWD,5.0,70.0,18472513.744,203.0,4200.0,500.0,1600.0
Toyota,1095000,2016,45000,Petrol,Automatic,Mumbai,Black,First,Individual,FWD,5.0,55.0,12095737.5,138.0,6400.0,173.0,4000.0
Audi,1575000,2013,66000,Diesel,Automatic,Hyderabad,White,First,Individual,FWD,5.0,63.0,12249405.102,177.0,4200.0,380.0,1750.0
Hyundai,525000,2015,68397,Petrol,Manual,Patna,Gold,First,Individual,FWD,5.0,45.0,10399534.95,82.0,6000.0,115.0,4000.0
Mahindra,625000,2015,65000,Diesel,Manual,Yamunanagar,White,Second,Individual,AWD,6.0,60.0,13058225.6,105.0,3800.0,247.0,1800.0
Maruti Suzuki,605000,2019,27469,Petrol,Manual,Delhi,Silver,First,Individual,FWD,5.0,37.0,10456912.5,83.0,6000.0,115.0,4000.0
Maruti Suzuki,412000,2016,41058,Petrol,Automatic,Delhi,Silver,First,Individual,FWD,5.0,35.0,8985600.0,67.0,6000.0,90.0,3500.0
Maruti Suzuki,625000,2016,51330,Diesel,Manual,Mumbai,Brown,First,Individual,FWD,5.0,43.0,11535034.5,89.0,4000.0,200.0,1750.0
Maruti Suzuki,511000,2015,45969,Petrol,Manual,Mumbai,Silver,First,Individual,FWD,5.0,43.0,11535034.5,91.0,6000.0,130.0,4000.0
Hyundai,1150000,2017,66602,Diesel,Automatic,Mumbai,Grey,First,Individual,FWD,5.0,60.0,12388978.0,126.0,4000.0,265.0,1900.0
Hyundai,885000,2016,57983,Petrol,Manual,Mumbai,White,First,Individual,FWD,5.0,60.0,12388978.0,122.0,6400.0,154.0,4850.0
Renault,470000,2019,11183,Petrol,Automatic,Mumbai,Silver,First,Individual,FWD,5.0,28.0,8585910.398,67.0,5500.0,91.0,4250.0
MG,1611000,2019,46301,Diesel,Manual,Mumbai,White,First,Individual,FWD,5.0,60.0,15033788.0,169.0,3750.0,350.0,1750.0
Tata,475000,2017,34867,Petrol,Automatic,Mumbai,Silver,Second,Individual,FWD,5.0,35.0,9470431.17,84.0,6000.0,114.0,3500.0
Toyota,865000,2015,43634,Diesel,Manual,Delhi,Silver,First,Individual,RWD,7.0,55.0,14242844.0,101.0,3600.0,200.0,1200.0
BMW,3800000,2018,9512,Diesel,Automatic,Mumbai,Blue,First,Corporate,AWD,5.0,67.0,14698972.926,190.0,4000.0,400.0,1750.0
Jeep,2475000,2020,11293,Diesel,Automatic,Mumbai,White,First,Individual,AWD,5.0,60.0,13103780.4,171.0,3750.0,350.0,1750.0
Mahindra,400000,2014,78000,Diesel,Manual,Gurgaon,White,Second,Individual,RWD,8.0,60.0,15897387.25,120.0,4000.0,290.0,1800.0
Honda,440000,2016,50374,Petrol,Manual,Vadodara,White,First,Individual,FWD,5.0,35.0,9097200.0,87.0,6000.0,109.0,4500.0
BMW,2800000,2017,15900,Petrol,Automatic,Delhi,White,First,Individual,RWD,5.0,57.0,11989828.727,181.0,5000.0,270.0,1350.0
Honda,645000,2017,64000,Petrol,Manual,Mumbai,White,First,Individual,FWD,5.0,40.0,11251071.0,117.0,6600.0,145.0,4600.0
Volkswagen,365000,2013,78000,Diesel,Manual,Jaipur,Silver,First,Individual,FWD,5.0,45.0,9702465.62,74.0,4200.0,180.0,2000.0
Maruti Suzuki,1044999,2021,24000,Petrol,Manual,Mumbai,Silver,First,Individual,FWD,5.0,48.0,11727722.0,103.0,6000.0,138.0,4400.0
Maruti Suzuki,515000,2019,40310,Petrol,Manual,Pune,Grey,Second,Individual,RWD,7.0,40.0,9757125.0,73.0,6000.0,101.0,3000.0
